Date,BANK,IT,AUTO,PHARMA,FMCG,METAL,REALTY,ENERGY,NIFTY50,INDIAVIX
2012-01-02,7994.95703125,6217.7001953125,3356.10009765625,4567.60009765625,10103.9501953125,2495.10009765625,183.10000610351562,7037.0498046875,4765.2998046875,27.530000686645508
2012-01-03,8340.203125,6356.14990234375,3414.050048828125,4634.5,10215.7001953125,2618.64990234375,191.4499969482422,7197.10009765625,4765.2998046875,26.15999984741211
2012-01-04,8408.302734375,6325.10009765625,3386.10009765625,4655.75,10151.5,2626.64990234375,190.8000030517578,7165.75,4749.64990234375,26.40999984741211
2012-01-05,8454.8017578125,6301.5498046875,3426.75,4648.5498046875,10130.7998046875,2610.10009765625,187.25,7054.39990234375,4749.9501953125,25.90999984741211
2012-01-06,8488.1513671875,6281.10009765625,3416.0,4658.60009765625,10206.75,2601.949951171875,185.85000610351562,7114.60009765625,4754.10009765625,25.459999084472656
2012-01-09,8481.2509765625,6287.89990234375,3395.85009765625,4699.39990234375,10183.2001953125,2603.89990234375,190.25,7074.75,4742.7998046875,25.68000030517578
2012-01-10,8734.9482421875,6331.75,3493.550048828125,4747.2998046875,10298.0,2686.35009765625,199.75,7263.4501953125,4849.5498046875,24.0
2012-01-11,8839.59765625,6249.2998046875,3503.949951171875,4756.75,10241.150390625,2748.5,208.9499969482422,7315.25,4860.9501953125,24.540000915527344
2012-01-12,8930.146484375,5872.75,3529.85009765625,4755.0498046875,10314.0,2780.949951171875,209.35000610351562,7275.0498046875,4831.25,24.030000686645508
2012-01-13,8974.9453125,5872.60009765625,3531.699951171875,4752.0498046875,10354.75,2872.300048828125,213.75,7293.0498046875,4866.0,23.479999542236328
2012-01-16,8940.146484375,5990.2998046875,3557.800048828125,4708.14990234375,10415.599609375,2882.39990234375,212.60000610351562,7165.75,4873.89990234375,24.06999969482422
2012-01-17,9056.5947265625,6041.0,3643.14990234375,4745.2001953125,10483.0498046875,2984.89990234375,220.35000610351562,7369.2001953125,4967.2998046875,22.610000610351562
2012-01-18,9023.2958984375,5912.0,3600.14990234375,4742.35009765625,10465.400390625,2927.050048828125,222.0500030517578,7558.7998046875,4955.7998046875,22.68000030517578
2012-01-19,9199.2939453125,5893.2001953125,3637.5,4813.5498046875,10451.150390625,3006.85009765625,229.89999389648438,7672.7998046875,5018.39990234375,21.68000030517578
2012-01-20,9516.7392578125,5897.9501953125,3664.199951171875,4790.9501953125,10211.650390625,3002.449951171875,231.6999969482422,7752.35009765625,5048.60009765625,21.959999084472656
2012-01-23,9520.189453125,5910.5498046875,3677.949951171875,4782.25,10315.7998046875,2936.14990234375,233.64999389648438,7644.7001953125,5046.25,22.139999389648438
2012-01-24,9833.8857421875,5964.25,3730.449951171875,4791.60009765625,10331.349609375,2985.60009765625,236.5,7721.14990234375,5127.35009765625,21.420000076293945
2012-01-25,9856.4853515625,6038.10009765625,3775.39990234375,4806.75,10389.4501953125,3042.35009765625,236.0,7745.5,5158.2998046875,21.020000457763672
2012-01-27,9813.5361328125,6136.2998046875,3818.550048828125,4824.14990234375,10257.849609375,3101.64990234375,230.25,7931.4501953125,5204.7001953125,21.700000762939453
2012-01-30,9536.98828125,6103.7998046875,3749.75,4823.5498046875,10188.75,3008.300048828125,223.0500030517578,7750.14990234375,5087.2998046875,23.459999084472656
2012-01-31,9919.3349609375,6193.85009765625,3836.5,4890.35009765625,10327.7001953125,3073.800048828125,231.4499969482422,7890.0498046875,5199.25,22.65999984741211
2012-02-01,9948.984375,6192.39990234375,3910.0,4888.2001953125,10326.099609375,3164.64990234375,233.64999389648438,7959.75,5235.7001953125,22.889999389648438
2012-02-02,9991.93359375,6280.5498046875,3922.5,4832.0,10309.150390625,3215.300048828125,235.85000610351562,7993.39990234375,5269.89990234375,23.690000534057617
2012-02-03,10133.5322265625,6339.9501953125,3944.39990234375,4906.35009765625,10466.099609375,3179.25,240.4499969482422,8098.75,5325.85009765625,24.09000015258789
2012-02-06,10269.130859375,6370.89990234375,3985.300048828125,4904.5498046875,10451.7998046875,3222.85009765625,250.4499969482422,8078.89990234375,5361.64990234375,24.6200008392334
2012-02-07,10324.4794921875,6308.5498046875,3940.949951171875,4902.14990234375,10484.099609375,3171.550048828125,244.5,8120.75,5335.14990234375,24.90999984741211
2012-02-08,10319.9794921875,6414.64990234375,3969.14990234375,4892.85009765625,10498.5498046875,3222.949951171875,251.75,8217.5,5368.14990234375,24.270000457763672
2012-02-09,10507.4775390625,6492.5498046875,4040.800048828125,4882.14990234375,10528.5498046875,3286.89990234375,256.6499938964844,8240.5,5412.35009765625,23.299999237060547
2012-02-10,10442.529296875,6484.35009765625,4031.199951171875,4837.9501953125,10496.150390625,3310.5,254.35000610351562,8170.0498046875,5381.60009765625,23.829999923706055
2012-02-13,10473.4775390625,6461.14990234375,4068.64990234375,4847.2001953125,10479.5498046875,3346.85009765625,254.5,8194.7998046875,5390.2001953125,23.709999084472656
2012-02-14,10556.52734375,6465.7001953125,4154.2001953125,4795.9501953125,10485.4501953125,3358.449951171875,260.3999938964844,8167.4501953125,5416.0498046875,22.709999084472656
2012-02-15,10930.5732421875,6575.39990234375,4293.9501953125,4835.4501953125,10505.2998046875,3429.35009765625,272.70001220703125,8195.9501953125,5531.9501953125,22.100000381469727
2012-02-16,10921.7734375,6621.9501953125,4296.4501953125,4832.75,10499.5,3367.5,277.75,8111.14990234375,5521.9501953125,23.329999923706055
2012-02-17,11074.771484375,6703.0498046875,4277.9501953125,4833.9501953125,10545.5498046875,3369.39990234375,280.75,8173.0498046875,5564.2998046875,24.18000030517578
2012-02-21,11170.2705078125,6703.89990234375,4290.4501953125,4841.89990234375,10589.099609375,3398.449951171875,293.8500061035156,8318.2998046875,5607.14990234375,26.25
2012-02-22,10747.025390625,6718.7001953125,4229.2998046875,4804.0498046875,10528.0498046875,3248.39990234375,273.29998779296875,8220.7998046875,5505.35009765625,26.799999237060547
2012-02-23,10713.224609375,6704.5,4189.25,4794.7001953125,10604.4501953125,3211.699951171875,266.6499938964844,8270.7001953125,5483.2998046875,24.329999923706055
2012-02-24,10506.677734375,6747.2001953125,4169.85009765625,4781.10009765625,10629.5,3247.10009765625,259.75,8160.85009765625,5429.2998046875,24.81999969482422
2012-02-27,10103.8330078125,6608.89990234375,4034.10009765625,4771.2998046875,10654.900390625,3083.199951171875,245.5,7899.0,5281.2001953125,27.3799991607666
2012-02-28,10483.8779296875,6572.4501953125,4160.0498046875,4815.35009765625,10642.75,3189.39990234375,260.70001220703125,7994.25,5375.5,25.850000381469727
2012-02-29,10414.0791015625,6606.85009765625,4159.39990234375,4811.7001953125,10560.2998046875,3236.64990234375,263.79998779296875,8182.85009765625,5385.2001953125,26.93000030517578
2012-03-01,10288.78125,6553.2001953125,4115.7001953125,4827.25,10517.5498046875,3205.699951171875,254.35000610351562,8110.14990234375,5339.75,27.670000076293945
2012-03-02,10434.1787109375,6532.39990234375,4114.60009765625,4873.4501953125,10482.2001953125,3210.14990234375,248.5500030517578,8092.64990234375,5359.35009765625,27.84000015258789
