Date,BANK_RS_21d,IT_RS_21d,AUTO_RS_21d,PHARMA_RS_21d,FMCG_RS_21d,METAL_RS_21d,REALTY_RS_21d,ENERGY_RS_21d
2012-02-01,0.0059294936394080075,-0.004677024371262126,0.0027913154528644195,-0.0012525657884413753,-0.003447236086067172,0.006836831026410905,0.007126267769478069,0.0013842112844254465
2012-02-02,0.00381141142733766,-0.005362677281468119,0.0018180479135811436,-0.0028056558569967823,-0.004359276129542828,0.004981470729277601,0.005138974206205154,0.00020414728528254586
2012-02-03,0.003434708461185424,-0.005340779926725292,0.0018150738182926085,-0.002955911498321801,-0.003999118263607868,0.003639745526097328,0.005561188046537264,0.0003759793537264954
2012-02-06,0.0034890592105913153,-0.005247261183453235,0.0014220333960067583,-0.0032156956026275748,-0.0042830327637643365,0.004273328897418187,0.00807985965225581,0.0006888846791224951
2012-02-07,0.003835092041552187,-0.0052832796575134795,0.0013162840280599355,-0.003064318495117028,-0.004214239891286079,0.003935701882393771,0.007569801011379145,0.000807806281719569
2012-02-08,0.0034461012419627684,-0.0049475429269876785,0.0015305775106543114,-0.003976930070920657,-0.004445613142986695,0.004258623970685815,0.00744008799154862,0.0012322967764736344
2012-02-09,0.0035694100740915813,-0.004034230671599675,0.001701274218091001,-0.0038946589584583197,-0.004174125038650507,0.004379232851540452,0.0067071028610352626,0.000781359606297354
2012-02-10,0.0030901736989508953,-0.003087125874037586,0.0018295896669650417,-0.004039302757942267,-0.0036741528236346284,0.0040139101633110165,0.0045173574924725814,0.0004172371916953445
2012-02-13,0.0023779057937007237,-0.000666333114486637,0.0015513584496301283,-0.004299200192235363,-0.004454941337695315,0.0036071315665300186,0.0040864772145611655,0.00045580147785126944
2012-02-14,0.0026291926705097318,-0.0005181265575671425,0.0026307668109313816,-0.004661842731361769,-0.004502439912610728,0.00234628270818243,0.00430082342994518,0.0002924031631763276
2012-02-15,0.003541227635440268,-0.0015929550807613994,0.0029247008508464832,-0.004760323109950516,-0.0056224173551828556,0.002242929901565786,0.005824468913321722,0.00036578235833251236
2012-02-16,0.003876688947182609,-0.0006683020804062623,0.00281360857236924,-0.004170126603780974,-0.004966033905095888,0.0007023674304295928,0.005983309952300865,-0.00047258251894663397
2012-02-17,0.004240353754582521,0.0004650403226750142,0.0026993284415849092,-0.004603877234995255,-0.00515158337162382,0.00118699829855551,0.005654733857250048,-0.001794422686024214
2012-02-21,0.003961794323967611,0.0008551829400043013,0.002579220108010002,-0.005002811659433994,-0.0046580160763282745,0.0005473793342755297,0.006404458824211423,-0.0014359577011589667
2012-02-22,0.001665112631153422,0.0020800227858722743,0.002705574448403477,-0.003994231374368281,-0.0026712155411768657,-0.0003750207810455774,0.0037389172389321445,-0.0013303761720907066
2012-02-23,0.0016667853943677481,0.00204659073312736,0.002243072435082142,-0.003831506942970732,-0.002641172355745546,0.0003161680938062331,0.0023357614495298972,-0.00020738719814125325
2012-02-24,0.00042646089477577217,0.0031487199095103493,0.002577620475280866,-0.002829282854127699,-0.0013700462000237569,0.0012733502544202292,0.0017404867328279462,-8.743630948525706e-05
2012-02-27,5.899314769199386e-05,0.003180069047421856,0.002034789981635476,-0.0014737508653227655,8.012753741076881e-05,-0.0004861249516142981,0.000758037646945402,-0.00018677200024336488
2012-02-28,0.0016088799676823552,0.0017321564347073592,0.0025412748756602323,-0.001624536796374217,0.00021648520098215625,-0.00020909084082188487,0.00437691432044672,-0.0011620405779645515
2012-02-29,0.0014796962738290276,0.0010613438811218037,0.0022273500810985184,-0.0028269964384064735,-0.0010042756563261401,0.0007741131382978683,0.005280377710778472,-0.00012280760080999546
2012-03-01,0.00047160822837285545,0.0014158180355706741,0.00207543013605236,-0.001888161865576735,-0.0004023239943869015,0.0007310196177327151,0.003222999523453362,4.045016187894041e-05
2012-03-02,0.0011559157084378967,0.0014337880060826035,0.0013172449793065744,-0.0012554362616901595,-0.0003970553782951479,-0.00043175851109097973,0.0018322701221715487,-0.0003230233950894546
2012-03-05,0.0007876776509213228,0.0013311378463479698,0.001894563906355107,-5.7393248405411066e-05,0.0007544349764435854,-0.0017144153720950372,0.0005474132783409455,-9.582427028988082e-05
2012-03-06,0.0005779516997859663,0.002206903333614802,0.0023904515096276517,0.00011814907783323086,0.0014265321042727821,-0.002130363489465658,0.00016543410797300196,-0.0006118689449043412
2012-03-07,0.0006341253658860551,0.0026872989700890406,0.0022951184315887947,0.0007029018144505605,0.0018536473060816521,-0.0031170284788254003,-0.000907721640756436,-0.0008535517255333974
2012-03-09,0.0008420886308292847,0.0018642123934346122,0.002647354197740361,-0.00011021490673680016,0.0003649961717571451,-0.0012184567388458566,0.0003925606187873816,-0.001671151800549783
2012-03-12,0.0014657579825869602,0.0006522581795436077,0.002699165167096634,-0.00012065306152279827,0.0004024881956647433,-0.001439806597774439,-0.00040844820803501104,-0.0016273128370457562
2012-03-13,0.0006519428621864237,0.0002452264929671779,0.0016253356792127473,4.597018974353219e-05,0.000585601393848301,-0.0012194189466700187,-0.0004764585285901397,-0.0009040488915955443
2012-03-14,0.0012734223077316372,-0.0004967007034366844,0.0016511109953539862,-5.198130233994799e-06,0.0005656160454227348,-0.002159587279611628,-0.0010609090956835141,-0.0008347539698137098
2012-03-15,0.0006345564108191038,0.0005102335281032918,0.0017007182976734344,0.0005404125771393654,0.0010419339830572236,-0.0024866044306658267,-0.0016772151421323262,-0.0009831348842210218
2012-03-16,0.00011932977796003943,0.0011319721618506858,0.0015672764986231623,0.0009616325188150807,0.0026936608788649726,-0.00284336680449459,-0.0026187095022078928,-0.0016486165534673274
2012-03-19,-0.000919570627797817,0.0011723931434183437,0.0013402459654466175,0.0021793355000672126,0.004706603714435499,-0.002649674284765445,-0.00452639486515832,-0.0008834523432219624
2012-03-20,-0.0006968220481017237,0.0007304034295430644,0.00032273632688576705,0.0025045843205136623,0.004986313825691769,-0.002011590845072907,-0.004955175992095122,-0.00035028593904070336
2012-03-21,-0.0006902894312272425,0.00044732318415190435,0.0007731331724779897,0.002475335360087273,0.0047810123639097386,-0.0015908087847762856,-0.004207549968422946,-0.0007926611493074974
2012-03-22,-0.0011213619979769658,0.001396385505824403,0.0013850332594900622,0.0033652809966040094,0.005373362964469287,-0.002072685662210296,-0.006898604969549974,-0.0015302366828866252
2012-03-23,-4.242236083121633e-05,0.0006655527716042404,0.0010792746162109428,0.0027407026864198925,0.004807457988661827,-0.0014904991952433598,-0.004032180982935897,-0.0019696924889039385
2012-03-26,-0.00040395435266445123,0.0007298429663245537,0.0015637318044608038,0.0030839060657821505,0.0051249212237700365,-0.0013082702166311976,-0.003937461137979819,-0.0026468111697232925
2012-03-27,1.0734251802571506e-05,-6.263367801497455e-05,0.0009375406118057736,0.0026719017725307147,0.00482549370665615,-0.0021656987828339086,-0.002955236970377516,-0.0028413599814797255
2012-03-28,0.00010455367224413499,-0.00036816397726474105,0.0013707749550675732,0.002036386493083384,0.003884021184024685,-0.0010410122951378495,-0.001979260967250954,-0.002740639990690118
2012-03-29,-0.000821803162193853,0.00025753202842426445,0.0011513663091179036,0.0028338049201544033,0.004594483400485227,-0.001551063054945372,-0.0037587370477055954,-0.0022101710297536496
2012-03-30,-0.00013074755319911972,0.00014006497142627738,0.001341270143943109,0.0029746883841941392,0.00455151565480088,-0.0019549228508148352,-0.0038919413396876945,-0.0029881932155564135
2012-04-02,0.00027132126946043263,0.0001574530913756148,0.001345205170670931,0.002137405898349764,0.0041932120714853,-0.002296796267463105,-0.0019589535075281634,-0.003260741219487154
2012-04-03,-2.0599848357461267e-07,0.00014222222538265287,0.0010984667553951266,0.0012516342065464418,0.0042585714513693395,-0.0017758282010311283,-0.0006386295752268686,-0.00261723251794766
2012-04-04,0.00036626892586870885,0.00011921710489127873,0.0007567772232747268,0.0011306913774780459,0.0036894115876467256,-0.0011218529521024175,0.00011323373435217078,-0.002656906984473329
2012-04-09,0.00023717875032467088,-0.00043988391090382347,0.0007315534067349645,0.0018397451024465036,0.003373620892483719,-0.0005401304482585188,0.0005304342719026715,-0.00218560116165056
2012-04-10,8.539044523156767e-05,-0.0014380327353190445,0.0010830952719241812,0.0014694670193434094,0.004080523444277079,-0.00041365053901564613,-4.181729343258716e-05,-0.00162942791269573
2012-04-11,-0.000377204053384414,-9.972550062264203e-05,0.0010000074584046508,0.002534286999260593,0.005387780267449344,-0.0022911748947876615,-0.000689055811164474,-0.0015252370432973271
2012-04-12,-0.0002784393278168856,-0.0003639052985937788,0.0009783528806941758,0.002422625957667725,0.005835968908501697,-0.0018001120491609609,-0.0013193868658271206,-0.0019601327223284157
2012-04-13,0.00026447473148933026,-0.00391977938433985,0.0023886287344165235,0.004027669100901134,0.006771471990402353,-0.0021642096669725656,-0.0017205032282904612,-0.0015603427516554802
2012-04-16,7.64807733375835e-05,-0.003822307235177346,0.0026510849393935726,0.004059669845786204,0.007029064947278747,-0.001890130537663499,-0.0006176809695190425,-0.0018355970645881877
2012-04-17,0.0004701412488581795,-0.004740487713113354,0.0021155457643575707,0.003030499324651317,0.006802577476523773,-0.0016630286565177464,0.0006256489789601403,-0.001839616727796188
2012-04-18,0.0007122993774265137,-0.005151525260663253,0.0020888245579113647,0.0036123922588313477,0.004927622572778999,-0.0008910483125243113,0.00010148564700563208,-0.0005466715552146601
2012-04-19,0.0010617021229468505,-0.004893735678798672,0.0023364712004845197,0.003180793871469378,0.003991950615712355,-0.0010210953369164412,0.00026272324234544956,-0.0009472009892228317
2012-04-20,0.0006590132954915544,-0.00460135974787941,0.0036243194764501627,0.0029759314652987047,0.0041000330747764015,-0.0009312813148383013,-0.0006648744074409114,-0.0013461158847224359
2012-04-23,0.0001914821591948539,-0.005113411788309026,0.0037452667479143205,0.004014861494239696,0.004819418563545167,-0.0016657562241735053,-0.0023067674897503327,-0.00027066898899497853
2012-04-24,0.0002471758922505933,-0.0038676927428915923,0.0031512219634465643,0.0029462734141127798,0.0043541337912992705,-0.0010827993058308482,-0.0015196127326809609,-0.00012976067705663778
2012-04-25,6.528894413471576e-05,-0.0045539417950102015,0.0036815348629179725,0.0033697372879269447,0.004725183704812255,-0.000401452482180415,-0.002233987182213991,-6.72980315425543e-05
2012-04-26,0.0003553519069532396,-0.004417206046415402,0.0031514724843253756,0.0027701870251617532,0.004235523887103575,-0.00014526817896320346,-0.001650190967515707,3.936363077037227e-05
2012-04-27,0.0004789716827778715,-0.0038611140528610976,0.003592627802356557,0.0028936342920448093,0.0035471607209815723,-0.0007037956346912695,-0.002424890712105923,0.0003396490569680929
2012-04-30,0.0010021236787451037,-0.003262645565880002,0.0034199338178752727,0.001949503660521427,0.00262794297261415,-0.0004372787440055605,-0.0015155788670295207,0.0005922826202622035
2012-05-02,0.0012325875718428038,-0.002392386594295977,0.002273684479065664,0.001713270618038715,0.003008762761126883,-0.0008282321685762252,-0.0017773809248880826,2.3946928087740724e-05
2012-05-03,0.0005697708829422466,-0.0016935180555238058,0.0014621300600836029,0.0020512262743256973,0.003763589471022034,-0.0014668802645669814,-0.0024537591244656338,-0.0001771143144788952
2012-05-04,-0.0002676835605555008,-0.0012568487797941417,0.0016424881773143896,0.003572903406234026,0.004359263063215204,-0.0013538649948207603,-0.003337045249750757,0.00021172175709938059
2012-05-07,-0.0003866511693587844,-0.0012577519534691171,0.002436379424460292,0.003710660158633983,0.0039299414074467475,-0.0012978421807476764,-0.0034748843734145876,-0.0005518036367703335
2012-05-08,-0.0006118410462057919,-0.0019111164549220597,0.0024483412468200927,0.004113067275972574,0.0035977809538387355,-0.0008188803799369627,-0.0027973274863550726,-3.2360605746146326e-05
2012-05-09,-0.001122472754681541,-0.0019543905387120995,0.0020300685057826327,0.0032606723873468313,0.004740532622636649,-0.0006873023598402022,-0.004398194551848927,-0.000595917368119659
2012-05-10,-0.001222751455303212,-0.0013334234908738965,0.001308608892332952,0.0032482005097150893,0.0040584810709159225,-0.0006572977168040578,-0.004447606695701408,-0.0002948336669291564
2012-05-11,-0.0011706322431789223,-0.0017430813610666575,0.001939605050047511,0.0020082086122888247,0.0035255260491572765,-0.0003681905318970273,-0.003964058028716291,-6.300725967244448e-05
2012-05-14,-0.0020913905371055834,-0.00035909837839203686,0.0018276356388837788,0.003446891521993286,0.003577865723747889,-0.0011583192597509747,-0.004275294774651352,-0.00038639794355272
2012-05-15,-0.002307696476364939,0.003891009040426125,0.0007211381847507725,0.0022102715836334543,0.001992626111671633,-0.0009400672951722314,-0.004216550948277591,-0.0015632483239087455
2012-05-16,-0.002696614427620624,0.004452964175834002,-0.0001133294173392618,0.0028482437774073883,0.0018943278783692063,-0.0014005851614685622,-0.004059131373403819,-0.0006705812404512973
2012-05-17,-0.002685528479035592,0.0044846110153591,-0.0003640159858018053,0.003056786976408132,0.0026156565494928384,-0.0016753065672295937,-0.00434752978915257,-0.0004961961465585092
2012-05-18,-0.0019631608194896288,0.00423125954342723,-0.002107386316452738,0.0024709387432379874,0.003398671815966335,-0.0020314548436239413,-0.003929524272622258,-0.0006459828098962423
2012-05-21,-0.0014058605299205182,0.003577488687487905,-0.002361687582406127,0.0025922584368866684,0.002552241093053321,-0.0017707868334032872,-0.0023746332105915383,0.00013369876247769797
2012-05-22,-0.0017015373599732148,0.0038195768789649575,-0.0027502416292011153,0.002378825411576194,0.0020511532979018967,-0.0023106771445143264,-0.0022928697395628184,0.0002314231162687222
2012-05-23,-0.001598654238742418,0.004722217161995314,-0.002808144490842022,0.0019623666624323786,0.0018935288349367018,-0.0018402949612212095,-0.001810965415877045,-0.0003560034859545224
2012-05-24,-0.0009408720714381854,0.0024881525848292306,-0.002949826644892744,0.0018971151372749076,0.001292186802199619,-0.002160442738089074,-0.0021799579009736283,-0.00023426300511078524
2012-05-25,-0.0007671026047536876,0.0028868229172932724,-0.003465654609486253,0.0015331539549411732,0.0007148588360156071,-0.0017312068579348468,-0.0013519531519307734,-0.00019835238689079214
2012-05-28,-0.00016075961907150728,0.0022623909434280136,-0.003022250812653059,0.0012810582018602046,0.0001898905828244062,-0.00198642250513803,-0.0011186801848526654,-0.00038192238993909103
2012-05-29,-0.00023770322796418586,0.0022185321423341606,-0.0029859911111400775,0.0010748416425269405,5.514984810697917e-05,-0.0013457703215230344,-0.0002535643473604698,-0.00019611950563964715
2012-05-30,-0.0007944178314998073,0.002202847351418574,-0.004383620286417307,0.0017711801408854286,0.0008911721455697849,-0.0016571937904871908,-0.0017123606901909344,-7.545073994266608e-05
2012-05-31,-0.001225484702583708,0.002040470909215923,-0.004321654027718892,0.0018716687893042816,0.0008622963072420949,-0.001403493191803943,-0.0010425807837260168,0.0005347730940907813
2012-06-01,-0.0009264812228150336,0.0012544321910791132,-0.0036868265254346305,0.0016610923956911592,0.0015810341594094223,-0.000950425933901454,-0.0006771947399406824,0.0002165527411575846
2012-06-04,0.000101455231342537,0.000569155670724531,-0.0035200313816126138,1.4765733020479736e-05,0.0003098799884903754,-0.001076761407198821,0.0003840813434579115,0.0003688587911711953
2012-06-05,0.0003447295931720989,0.0009314173717443533,-0.004154365633372732,0.00044576213167165746,0.00034121226029599615,-0.001851363097121533,-0.00022591094694358795,0.0010358518757216917
2012-06-06,0.0007861031038336488,0.000809834886941211,-0.00381013421295483,-0.0009582724130985993,0.000599991205690472,-0.0020317528784278035,-0.0005550754748600754,0.0002125235254542385
2012-06-07,0.001976625068911469,0.0002715949120768108,-0.003505135254005293,-0.0016192738763626084,-0.0012400845895386365,-0.0011927633957152057,0.001098755802310853,0.0005173369446249397
2012-06-08,0.0019114470125808007,-0.0002880594121071054,-0.0033721249654932697,-0.0015944090908217774,-0.0010947273873448422,-0.0006531461275306075,0.0017947337298471686,0.00033455516110678064
2012-06-11,0.00161470696234367,-0.00010731657122375242,-0.004162633637031938,-0.0014134015655460194,-0.0004922371361859988,-0.00034350130286755435,0.001243448724172117,0.0002237671312270127
2012-06-12,0.0023538670385920527,-0.0006772408344583574,-0.0038758874198797115,-0.0030345063356519396,-0.0010379302403470258,-0.00034586760807798567,0.002263585258793007,0.0004375195491033118
2012-06-13,0.002270595748561138,-0.00101993983084401,-0.004386643098652358,-0.002896463113046827,0.00020939848649238822,-0.0011921943903158067,0.001370161912126859,0.0005865816963215628
2012-06-14,0.0014850273451826222,-0.00033197929579109457,-0.00428222629436762,-0.0029491267700400923,0.0004113448556128552,-0.0006179520523156047,7.124266204651419e-05,0.00034750189588391247
2012-06-15,0.001957056491258276,-0.0004530483655626814,-0.0034814211558979215,-0.0030116482141704136,-0.0006002517947806818,-0.0008106920420085295,-0.00010632911302117928,-0.0001273904674348441
2012-06-18,0.0005439962052129115,7.319627232718661e-05,-0.001971861867538881,-0.002370194022603718,-0.0010232353207109978,-0.000541913695858578,-0.0005985221806848269,5.4637953229537146e-05
2012-06-19,-0.00016633250483897677,0.0001642530421091296,-0.0026714511244690558,-0.002481028092160483,-4.848949782744645e-06,-0.0012652519322265937,-0.0018880885402573506,0.00020468213060361763
2012-06-20,0.0003260749902995945,-0.0006449394104506157,-0.002341540554415443,-0.0020228818317117743,-0.0002166941897370116,-0.00031217065205747796,-0.0017855805506934849,0.0005287456383745656
2012-06-21,0.0009417125356196983,-0.0014436549608394956,-0.002351439081318093,-0.0025316269237769936,-9.61698186858189e-05,-0.00019170915298408978,-0.000437729363904332,-0.0002600594757939212
2012-06-22,0.0008130806442968289,-0.0009868352265876416,-0.0017903705542926189,-0.0018804994534277505,0.00056820768125402,-0.0005775122400430766,0.0003682912633622185,-0.00011030630467385007
