,BANK,IT,AUTO,PHARMA,FMCG,METAL,REALTY,ENERGY
BANK,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
IT,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
AUTO,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
PHARMA,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
FMCG,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
METAL,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
REALTY,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ENERGY,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
