Date,Benchmark_Nifty50,Model_Driven_Overlay,Baseline_Momentum_Overlay
2021-11-30,1.0,0.997,0.997
2021-12-01,1.0065566054638553,0.9983939148310349,1.006033844451447
2021-12-02,1.0202275746023775,1.0063761529206878,1.0185578097834738
2021-12-03,1.0081403343045112,0.9971829791784871,1.0113654472421365
2021-12-06,0.9913253115542333,0.9805913283231787,0.9913445299682498
2021-12-07,1.0067062763103574,0.992734028387897,1.0055183830908099
2021-12-08,1.0237367716817434,1.007933422905351,1.0220286981881768
2021-12-09,1.0264931202103649,1.0112929335243162,1.0258355079866852
2021-12-10,1.0261679055541717,1.0113142522837577,1.0334874195172277
2021-12-13,1.017750655884763,1.0060939225008194,1.026557412661804
2021-12-14,1.0152072652824176,1.0077525270652026,1.0232659742386994
2021-12-15,1.009124167297413,1.0032664004417886,1.0113239918680434
2021-12-16,1.0107050501265464,0.9965110435075308,1.0108177188842755
2021-12-17,0.9951633601841481,0.9766127767774955,0.9944604805872063
2021-12-20,0.9731855492855723,0.9613446235559717,0.9679087147839945
2021-12-21,0.982318440842967,0.9675181331784161,0.9816389733678351
2021-12-22,0.9930719132167289,0.9792852239800262,0.9958734773816921
2021-12-23,0.9999097558906734,0.9874605769830932,1.0112218398350135
2021-12-24,0.9958692121956605,0.9798782828486583,1.0087442957573063
2021-12-27,1.0006893571297168,0.9867433545972933,1.012399618051391
2021-12-28,1.009261873343836,0.9934127759312982,1.0208735583725388
2021-12-29,1.0081103954914168,0.9965296283567139,1.0186593664961276
2021-12-30,1.0075450641592438,0.9985973515007172,1.0191606693986388
2021-12-31,1.0162975984191278,1.0090941537813967,1.0241029236041244
2022-01-03,1.032082800130468,1.0165459880920726,1.0327217073003585
2022-01-04,1.0425433078788824,1.019379195615003,1.0307588131972876
2022-01-05,1.0495460460055435,1.0271857853854118,1.027752349464498
2022-01-06,1.0389920124240035,1.0205484563414404,1.0185341731007047
2022-01-07,1.0428956268106628,1.0236539456722458,1.0201006470703107
2022-01-10,1.053995661013819,1.0302106475837636,1.022794211269841
2022-01-11,1.0570618142693353,1.0297226143142097,1.0196418176816182
2022-01-12,1.0661903044700667,1.0330463379265267,1.0236236906620961
2022-01-13,1.0688477996188033,1.0369725216460317,1.0406322581221215
2022-01-14,1.0687277360817347,1.0314595135270932,1.0397776523887876
2022-01-17,1.0717880001588451,1.029129756998197,1.038050701754309
2022-01-18,1.060308242394458,1.020558730395352,1.0195725570565795
2022-01-19,1.0500348863212188,1.0150629826099766,1.0146001005995458
2022-01-20,1.0393624536704844,1.0037860086911483,1.0050024622954221
2022-01-21,1.031144294996502,0.9972195319033902,0.9876137881275114
2022-01-24,1.0033784557545264,0.977470598649409,0.95234312501422
2022-01-25,1.0108891504057562,0.9904110685324897,0.9573427025440331
2022-01-27,1.001023681652316,0.9828001206319311,0.9375053172627026
2022-01-28,1.000543759781682,0.9857051582319201,0.9454283620546103
2022-01-31,1.0143661235979704,0.9916733868065455,0.9537667148450772
2022-02-01,1.0281365239332125,0.9989310534262201,0.9545736179164257
2022-02-02,1.039951413396372,1.0103603417688518,0.9631748191818783
2022-02-03,1.0270151489912667,1.0021186569490947,0.9584659375367262
2022-02-04,1.0244445171512824,0.9969162848187532,0.9528926811390215
2022-02-07,1.0065862218418988,0.9812316592704462,0.943697058740741
2022-02-08,1.0096894672480166,0.9812182938250091,0.940457554464247
2022-02-09,1.0211469436661924,0.9976167877235282,0.9521815748181761
2022-02-10,1.0294192542450613,1.0042672940005521,0.9575016003119327
2022-02-11,1.015817323381293,0.9872655272676102,0.9483457837729148
2022-02-14,0.9842307979063476,0.9554710550448406,0.913939849439312
2022-02-15,1.0135710620932166,0.9882528094092284,0.942007867500377
2022-02-16,1.0118025924020593,0.9841114800491739,0.939438845187585
2022-02-17,1.0107740634864821,0.978375797880353,0.9401284700840682
2022-02-18,1.0091197556137677,0.9754759074247037,0.9359492097783884
2022-02-21,1.0050432088936576,0.9744385839726352,0.9303620983458022
2022-02-22,0.9983357652741733,0.9679471919204043,0.9271576727349523
2022-02-23,0.9966434410309518,0.967285729011072,0.9266417505101748
2022-02-24,0.9478475100302722,0.9120549877521539,0.8720242558798115
2022-02-25,0.9714942752755918,0.9388897174555997,0.8977802638034112
2022-02-28,0.9793644779913222,0.9344877556460047,0.8998410361999575
2022-03-02,0.9683419945667091,0.9201255114663811,0.9065907537990423
2022-03-03,0.9620295877171755,0.9122729402313093,0.908689584252038
2022-03-04,0.9471801323724276,0.9030967086996314,0.8819740635296592
2022-03-07,0.924629804211386,0.8795114319524002,0.8720165443711216
2022-03-08,0.9333492226123257,0.8919685254538972,0.8703664428863774
2022-03-09,0.9524963433863334,0.9068947373663553,0.8802631719597738
2022-03-10,0.9669285807984102,0.9221611241036468,0.8966639315045738
2022-03-11,0.9689976751163534,0.9309866781459292,0.8990902164676372
2022-03-14,0.9829305965343569,0.9364874367082582,0.8991348359376189
2022-03-15,0.9707193477690053,0.9336746680054285,0.8817656819549609
2022-03-16,0.9887471361254005,0.9467518776042267,0.9008989267208538
2022-03-17,1.0067378279840875,0.9611216588350684,0.9194208018184061
2022-03-21,0.9968208962774859,0.9520132990175871,0.9157620533884633
2022-03-22,1.0082792557720648,0.9517432910652772,0.9268049072398138
2022-03-23,1.0042036965241101,0.9504455983829997,0.9298437110612385
2022-03-24,1.0028693346134607,0.9486216518640213,0.9356974250392887
2022-03-25,0.9987995917228978,0.9424277674408069,0.9345807919324954
2022-03-28,1.0028093234691184,0.9452521038095922,0.9413004650065978
2022-03-29,1.0088063937437157,0.9511090677649575,0.9405325854783224
2022-03-30,1.018826837280395,0.956725972148727,0.9369980263858132
2022-03-31,1.0168744470682507,0.9532703312777203,0.9347508576761998
2022-04-01,1.0287811772884192,0.9639323848539794,0.9514434879773365
2022-04-04,1.0508386013177575,0.9812186319122389,0.9747379431147475
2022-04-05,1.0452357964636767,0.9805840312732053,0.97534369564912
2022-04-06,1.036482839495636,0.9705601518039673,0.979787416085267
2022-04-07,1.0266522373153482,0.9632786586027016,0.9680699752965859
2022-04-08,1.0350453768157932,0.9668543670346263,0.9823680642825995
2022-04-11,1.0286586330524528,0.9607390063085848,0.9905920974368194
2022-04-12,1.0202056494041987,0.9543424286101879,0.9805212638576142
2022-04-13,1.0170202091754577,0.9490316649381485,0.9814847332972382
2022-04-18,0.9992912579929815,0.9293253541617602,0.9787418527337862
2022-04-19,0.9867019828977179,0.9128907397433537,0.9719849606681227
2022-04-20,0.9969988138390589,0.9228015858046621,0.9735001699664616
2022-04-21,1.0117854537867164,0.9379611432894163,0.9824156495889238
2022-04-22,0.9988673688771462,0.9277992256922936,0.9672822329912532
2022-04-25,0.9861054456178528,0.9183939805192867,0.9501105849864006
2022-04-26,1.0003597387178078,0.9304850840648419,0.9652530679727054
2022-04-27,0.9908700295496963,0.9231192807902415,0.956933374876153
2022-04-28,1.0028155106272951,0.9304755222988067,0.9681970734050186
2022-04-29,0.9944945785298852,0.921593365388748,0.9564601990475285
2022-05-02,0.9925475247984319,0.9136006239367945,0.9587068786884416
2022-05-04,0.9695171367020368,0.8947279380068004,0.9384877347884423
2022-05-05,0.9698107087833623,0.9018220060541466,0.9395570368855721
2022-05-06,0.9539036743754582,0.8840952290581268,0.9324044305134328
2022-05-09,0.9475234887687111,0.8805444328790966,0.9128827975610372
2022-05-10,0.9439246308045096,0.8790662695276814,0.8870089200180499
2022-05-11,0.9396749757912203,0.8745251533376329,0.8836866963151383
2022-05-12,0.9185678575328357,0.8556956906933354,0.8606456935436421
2022-05-13,0.9170645645565307,0.8577875122841679,0.855664239220913
2022-05-16,0.9205530655354344,0.8661536761633469,0.8606465304900386
2022-05-17,0.9444703921898607,0.8870582374432544,0.894327965649598
2022-05-18,0.943366074616,0.8844350545915576,0.8954846085731796
2022-05-19,0.9179979506212956,0.8516236202229832,0.8756641132831612
2022-05-20,0.944143965121796,0.8718595685792505,0.9004764058985191
2022-05-23,0.9411528838440463,0.8798199609188486,0.8703365272056384
2022-05-24,0.9359407217091679,0.8746356601622763,0.8605848498859704
2022-05-25,0.9301563480273028,0.8622577924719039,0.8538165749194602
2022-05-26,0.9384971183867499,0.8745345158930137,0.8605016463506473
2022-05-27,0.9490183946792534,0.8906285759273055,0.8605079904351138
2022-05-30,0.9667811198812115,0.909478282354593,0.8706953007113309
2022-05-31,0.9623115901415378,0.9047016967601649,0.8703358526970159
2022-06-01,0.9587189277528987,0.899783267913174,0.8655500127381991
2022-06-02,0.9648066033672985,0.9015734240376744,0.8699761096646158
2022-06-03,0.9622677055402731,0.894986482243689,0.8619943959174152
2022-06-06,0.961411488303105,0.8948533874227661,0.8616840536732994
2022-06-07,0.9524809801778499,0.8843449123343472,0.8617212468572669
2022-06-08,0.9489875863245899,0.8817339384529369,0.8578184093932038
2022-06-09,0.9560310818653708,0.887881999786777,0.8635781810407086
2022-06-10,0.9398647227110566,0.8815575033210895,0.8575532686514825
2022-06-13,0.9147384379366441,0.8640304531323763,0.8435843073169342
2022-06-14,0.9122821718446302,0.8632294974353206,0.8398758816696287
2022-06-15,0.9099626269276632,0.8631640943229765,0.8378110708180292
2022-06-16,0.8905305131807723,0.8506168615458884,0.8241613591843014
2022-06-17,0.8866318930439377,0.8426941067486705,0.8158705090128495
2022-06-20,0.8899100991102271,0.8482371831452536,0.8136321916222413
2022-06-21,0.9064888767920546,0.8615659196188319,0.8294386781972372
2022-06-22,0.8933228211792712,0.8520052002364931,0.8179757561860567
2022-06-23,0.9015927256250632,0.8616407599045207,0.8311502517008308
2022-06-24,0.9098195027087617,0.8706246636825299,0.8437836939407667
2022-06-27,0.9174832886876737,0.8757138980117538,0.8512009424325568
2022-06-28,0.9185345197020995,0.8746207323678343,0.8580491617006837
2022-06-29,0.9155684071348391,0.8675624244617348,0.8605501975906957
2022-06-30,0.9144754074946525,0.867501043240684,0.858287116276628
2022-07-01,0.9128397264859769,0.8789289519155205,0.8550438320803904
2022-07-04,0.9176542758701075,0.8890818302900759,0.8615123932581674
2022-07-05,0.9162334079740841,0.8878799829962056,0.8617942659432974
2022-07-06,0.9265452651853945,0.9023674670752124,0.8748717398781141
2022-07-07,0.9348004894749273,0.9087384393849232,0.8789327475577581
2022-07-08,0.9398683475678732,0.9135650825595449,0.8836249899468601
2022-07-11,0.9396017951336616,0.9202324878590716,0.8954157032344321
2022-07-12,0.930419469458345,0.9109795818020181,0.889540649444514
2022-07-13,0.9250940821286434,0.9153221193132716,0.8876870832053838
2022-07-14,0.9234703619119267,0.9157219300304895,0.8906187448288726
2022-07-15,0.929853402517997,0.9207193285579292,0.9008002469356953
2022-07-18,0.9430444911542042,0.9259118050504832,0.9054231124088108
2022-07-19,0.9466323208070943,0.9284384783787558,0.9098304804530573
2022-07-20,0.9570201520192039,0.9348152621531839,0.9153832861969745
2022-07-21,0.9618968534962823,0.9377862981116543,0.9208228597676296
2022-07-22,0.9684894590868133,0.9431715694177655,0.9225294381578905
2022-07-25,0.9633523566565722,0.9389818728182673,0.9133776904526094
2022-07-26,0.9547907228083268,0.9281858878356459,0.9044442060372602
2022-07-27,0.9638961414038048,0.9402231105188632,0.9074354998351064
2022-07-28,0.9804230049095238,0.9477825385514868,0.9138236393115706
2022-07-29,0.993575929942719,0.9532255788921713,0.9228906831962587
2022-08-01,1.004048013979795,0.9567494221411866,0.9364413972728627
2022-08-02,1.0043605532537991,0.9601339748936266,0.9411052358938543
2022-08-03,1.0068300579810945,0.9560612352455528,0.9370166668255678
2022-08-04,1.0064738675048044,0.9630914819320464,0.9372311178141784
2022-08-05,1.0073709675769247,0.9641901834202106,0.9358972471261573
2022-08-08,1.0147324306644487,0.9672326299276313,0.9418353310831705
2022-08-10,1.0152910505497128,0.9667388761356871,0.9416761245856348
2022-08-11,1.0224599619132764,0.9706670883157706,0.9432854034117358
2022-08-12,1.0247242690095737,0.9680987118475599,0.9444443518218768
2022-08-16,1.0320570473271296,0.9753023794274824,0.9576158325328982
2022-08-17,1.0389240844251388,0.9806265108384489,0.9603789969497706
2022-08-18,1.039633084684361,0.9829920951267487,0.9622540972339435
2022-08-19,1.0281027726053549,0.9695764583457038,0.9479445662416491
2022-08-22,1.0124836825549404,0.9580183962157945,0.935735324297304
2022-08-23,1.0174958905430893,0.9640938102213377,0.9449170929819917
2022-08-24,1.0190835840416312,0.9663724558595437,0.9478317789914236
2022-08-25,1.0142967478963154,0.9630786336647468,0.9450033174674182
2022-08-26,1.01640455268757,0.9625937253159854,0.9460989582003134
2022-08-29,1.0020640447624567,0.9570416510687731,0.9404686074461004
2022-08-30,1.0275740455174287,0.973871822581591,0.9630541237024459
2022-09-01,1.0149701176959671,0.9666528059696107,0.9653030206987925
2022-09-02,1.014776188526918,0.9653552748854156,0.9648620460521395
2022-09-05,1.0220602786859767,0.9701508413906047,0.968980955252012
2022-09-06,1.0214699163139265,0.9674178561702871,0.9679561798642119
2022-09-07,1.0196632795977543,0.9629972983112681,0.9651202286311118
2022-09-08,1.0297007453861666,0.9740929814636952,0.9673965587789872
2022-09-09,1.0317004734488724,0.9845420309023372,0.9679359176245269
2022-09-12,1.0376421192996395,0.9913489311108031,0.9764715226114419
2022-09-13,1.0453482272956074,0.9938138015040735,0.9785268865293584
2022-09-14,1.0415056889056293,0.9857197651149002,0.9747343099768168
2022-09-15,1.0341706743122048,0.9817246739218997,0.9729974788338156
2022-09-16,1.0139265730427602,0.9569184045335782,0.9454768891236989
2022-09-19,1.0191991376078355,0.962081254014602,0.9487354259879316
2022-09-20,1.0303579963544602,0.9742671738379972,0.961284324503253
2022-09-21,1.0246805604661564,0.9683844943014482,0.9592396100492162
2022-09-22,1.0195468008988977,0.965502152740039,0.964839553835431
2022-09-23,1.0019040115925488,0.9489635997087781,0.9480429243642239
2022-09-26,0.9837551202130066,0.9309358784183822,0.915515522269482
2022-09-27,0.9832404316431339,0.9302764405743037,0.9150508187841387
2022-09-28,0.9746000320737165,0.9263086499082135,0.9114261489993011
2022-09-29,0.9722558997066217,0.9215549457363046,0.9142840409221951
2022-09-30,0.9880961966806494,0.9362576504152967,0.9217585392215489
2022-10-03,0.9760580439487236,0.9220126263014308,0.9010141639838523
2022-10-04,0.998170731922017,0.9454292207368346,0.9242398485826678
2022-10-06,1.0014877695143571,0.9540546529113536,0.9341354999462124
2022-10-07,1.0004962735731981,0.9504124846782763,0.9299619741591127
2022-10-10,0.996231439769549,0.9513642577929088,0.9250521957528252
2022-10-11,0.9812431440657773,0.9367132649358576,0.9096707252082682
2022-10-12,0.9893014381886284,0.9452574156506959,0.9179443089854536
2022-10-13,0.9829693910930783,0.9382068520265073,0.9132361579668243
2022-10-14,0.9928192501617247,0.9466178626983347,0.9174341813325613
2022-10-17,1.0000775509861768,0.9543740605605555,0.9194190528224558
2022-10-18,1.0101447803882868,0.9651546357239714,0.9296168066982125
2022-10-19,1.0116052398926099,0.9623868512225467,0.9291772631779265
2022-10-20,1.0145872755534069,0.9646438371236109,0.9333343206515257
2022-10-21,1.0153005168457592,0.9681486297385733,0.9356421269735221
2022-10-24,1.0241833529033029,0.976990403128897,0.9413836651962786
2022-10-25,1.0198767126504185,0.9816966704615927,0.9380003193497024
2022-10-27,1.0245217618246325,0.9820490366646594,0.9491535051493563
2022-10-28,1.0273972490223273,0.9819648620894361,0.9420671179823951
2022-10-31,1.0403348615109964,0.9918949778510698,0.9457911009583482
2022-11-01,1.0479998863504185,0.9995466698906238,0.9539097360254664
2022-11-02,1.0443809824960726,0.9975303421279692,0.9524952473414726
2022-11-03,1.0426381833461005,0.9974377591148234,0.951972021804277
2022-11-04,1.0463539479736768,0.993947123104243,0.9649627634997786
2022-11-07,1.051289020164992,0.9968621638880891,0.977462175466458
2022-11-09,1.0486404971876668,0.9912856806201998,0.972674580271818
2022-11-10,1.041175219193674,0.9808996388663895,0.962565920490593
2022-11-11,1.059579061241474,0.9848853981827966,0.9721308225702457
2022-11-14,1.0583918315151266,0.9852880641484543,0.9779700624769343
2022-11-15,1.062670635946104,0.9901273749787991,0.9838864812499174
2022-11-16,1.0630314694764704,0.989171173458959,0.977473051114202
2022-11-17,1.0592280604346866,0.9827718091231867,0.9721137527740572
2022-11-18,1.0571328132272753,0.9765206721428177,0.9675434907453908
2022-11-21,1.0485695619685316,0.9721135683168433,0.9622358781577477
2022-11-22,1.05342297275313,0.9752720545572495,0.9671448876595305
2022-11-23,1.054753088443104,0.9791203012836543,0.9686406201852951
2022-11-24,1.067200274848874,0.9838435655644576,0.9739287055010682
2022-11-25,1.068853156712298,0.9880406252055743,0.9767945718137803
2022-11-28,1.0717360680815167,0.9909537972107009,0.9752910774771355
2022-11-29,1.0749241589411858,0.9928436116907152,0.978167702718541
2022-11-30,1.0829940269093772,0.9992931184932088,0.9889561316151059
2022-12-01,1.0861158402736788,0.9977083724620437,1.0020102288605632
2022-12-02,1.079374734754818,0.9940543470803928,1.0015443376866433
2022-12-05,1.079660541015707,0.9949259665401219,1.0077720832050205
2022-12-06,1.0762894270504315,0.9919495891202826,0.9988322078262655
2022-12-07,1.0715304369296914,0.9926267884614505,0.992771327526237
2022-12-08,1.074346906405006,0.9930886395254187,0.9981254917021463
2022-12-09,1.067817873241421,0.9973870096353123,0.9840458270647015
2022-12-12,1.0678496696428692,0.997927591343595,0.9845856057037413
2022-12-13,1.0742299737059462,1.0002642605402792,0.9907062529724031
2022-12-14,1.077245034901217,1.0018499499462963,0.999340543195312
2022-12-15,1.0629842781320615,0.9929377841125345,0.9832591144450443
2022-12-16,1.0545287629049254,0.9845010337627489,0.974283023544162
2022-12-19,1.0632347243081588,0.9909883593921954,0.9781940607727501
2022-12-20,1.061204006248312,0.987776681178648,0.9788051101255887
2022-12-21,1.0504016350906336,0.986915345291715,0.9672419649317041
2022-12-22,1.0462522388823539,0.9831422649103685,0.9619932482351707
2022-12-23,1.0275856600633801,0.9689530060815532,0.9357592074689159
2022-12-26,1.039507778622365,0.973602241198984,0.9445171432152466
2022-12-27,1.0462774720023518,0.9775807325060434,0.9688537890231308
2022-12-28,1.0457117904010895,0.9757391040196007,0.9671308506386262
2022-12-29,1.049656953638175,0.9786170587524792,0.9749377754184756
2022-12-30,1.04470025303197,0.9731805148929262,0.9739502091638197
